,id,best.universe.redshift,Comments
318,16142,5.38,
319,16174,3.7,
320,16182,1.8,
321,16188,2.41,
322,16190,2.54,
323,16252,7.03,
324,16297,1.4000000000000001,
325,16324,1.75,
326,16414,3.46,
327,16464,3.93,
328,16497,1.6,
329,16540,1.71,
330,16548,1.22,
331,16560,2.68,
332,16592,1.21,
333,16627,3.18,
334,16632,1.77,
335,16678,3.63,
336,16680,3.5500000000000003,
337,16745,0.22,
338,16812,2.71,
339,16820,,
340,16823,4.53,
341,16887,1.5,
342,16915,2.83,
343,17030,0.13,
344,17077,2.2800000000000002,
345,17082,,
346,17084,3.7600000000000002,
347,17100,3.73,
348,17104,1.43,
349,17111,1.25,
350,17129,1.34,
351,17131,1.52,
352,17133,5.2700000000000005,
353,17158,5.3500000000000005,
354,17160,1.43,
355,17232,0.17,
356,17245,0.54,
357,17250,5.24,
358,17277,3.48,
359,17291,4.84,
360,17304,,
361,17314,8.870000000000001,
362,17335,0.24,
363,17336,0.89,
364,17405,1.6400000000000001,
365,17452,2.57,
366,17453,2.84,
367,17473,1.86,
368,17492,1.24,
369,17507,2.16,
370,17519,0.47000000000000003,
371,17523,5.5600000000000005,
372,17528,3.75,
373,17529,3.83,
374,17611,4.83,
375,17615,3.48,
376,17666,1.8,
377,17676,0.29,
378,17703,1.26,
379,17740,2.0300000000000002,
380,17763,4.29,
381,17808,0.6,
382,17854,1.86,
383,17892,2.47,
384,17896,0.91,
385,18062,7.57,
386,18111,7.140000000000001,
387,18148,5.18,
388,18163,2.99,
389,18196,1.7,
390,18241,1.56,
391,18259,4.14,
392,18263,4.39,
393,18357,4.53,
394,18439,4.94,
395,18442,4.15,
396,18448,3.84,
397,18458,1.98,
398,18465,1.53,
399,18479,1.96,
400,18499,3.43,
401,18617,0.36,
402,18700,6.53,
403,18835,2.65,
404,19021,5.63,
405,19152,1.1,
406,19279,4.53,
407,19494,1.1500000000000001,
408,19503,2.65,
409,19509,11.53, Very unlikely (missing lines)                  
410,19540,5.12,
411,19659,5.26,
412,19692,5.83,
413,19714,4.45,
414,19722,3.73,
415,19774,3.3200000000000003,
416,19777,2.54,
417,19838,1.24,
418,19853,2.47,
419,19865,3.42,
420,19903,2.5100000000000002,
421,19939,1.26,
422,19965,2.47,
423,20066,2.5100000000000002,
424,20111,4.5200000000000005,
425,20126,2.5100000000000002,
426,20152,2.64,
427,20243,1.84,
428,20323,2.71,
429,20328,3.4,
430,20345,3.71,
431,20358,2.73,
432,20371,0.8,
433,20373,4.47,
434,20404,4.78,
435,20405,3.98,
436,20435,4.5200000000000005,
437,20483,2.46,
438,20494,1.84,
439,20664,0.63,
440,20713,2.47,
441,20717,3.48,
442,20730,2.2800000000000002,
443,20738,3.64,
444,20797,3.73,
445,20853,1.4000000000000001,
446,20859,5.41,
447,20864,1.41,
448,20883,1.79,
449,20913,0.6900000000000001,
450,20932,1.96,
451,21007,3.46,
452,21041,2.92,
453,21098,0.93,
454,21105,3.02,
455,21133,2.47,
456,21153,4.68,
457,21326,3.5300000000000002,
458,21378,2.84,
459,21379,3.98,
460,21466,,
461,21508,,
462,21514,0.67,
463,21526,,
464,21568,2.2800000000000002,
465,21719,4.39,
466,22046,0.04,
467,22129,4.48,
468,22248,6.24,
469,22427,2.99,
470,22667,4.47,
471,22730,0.41000000000000003,
472,22876,0.92,
473,22925,1.2,
474,22938,1.51,
475,22955,0.6900000000000001,
476,22998,1.71,
477,23107,1.51,
478,23195,1.5,
479,23310,0.0,
480,23347,3.11,
481,23348,3.11,
482,23484,0.99,
483,23561,5.58,
484,23657,1.6600000000000001,
485,23708,4.39,
486,23773,4.2700000000000005,
487,23791,2.48,
