ID,ra,dec,z_med,z_UNICORN
190906,150.0802616,2.3978967,,7.36
80318,150.1465197,2.2187458,,5.08
41165,150.1783467,2.2640158,,5.08
182046,150.113563,2.4199396,,5.08
151013,150.15689,2.3729015,,5.08
113554,150.1795079,2.2960239,,5.62
109860,150.135323,2.2878909,,6.16
110041,150.0863576,2.2882655,,5.05
161682,150.1130888,2.3968678,,5.05
178375,150.1843578,2.4334771,,5.05
168272,150.1499903,2.4668879,,6.25
113268,150.0869261,2.2953872,,5.02
147697,150.1489635,2.366402,,6.61
195138,150.1273642,2.4011338,,6.55
64829,150.119178,2.1700965,,4.99
130994,150.1609689,2.332938,,4.99
106078,150.1437918,2.2801791,,7.69
139386,150.2046133,2.3500164,,4.96
171098,150.1306347,2.4546363,,4.96
45622,150.1498689,2.2381776,,2.95
100160,150.0542161,2.2670856,,4.93
102462,150.0914063,2.2721269,,4.93
39194,150.1411659,2.2742467,,4.93
22925,150.1926557,2.3555561,,4.93
129064,150.1632166,2.328882,,4.93
148059,150.1912447,2.3672454,,4.93
4790,150.1711075,2.4656349,,4.93
69164,150.1281999,2.1877748,,4.9
73315,150.1088931,2.2001312,,4.9
89926,150.161103,2.2432944,,4.9
93864,150.060645,2.2531083,,4.9
102441,150.0614938,2.2720954,,4.9
109564,150.1724014,2.2873522,,4.9
114780,150.1687811,2.2985316,,4.9
10048,150.1206746,2.4266063,,4.9
175729,150.1662721,2.4405097,,4.9
94001,150.0839656,2.2534784,,6.04
109821,150.0978333,2.2878117,,5.68
48893,150.1405023,2.2175373,,4.87
67540,150.1512591,2.1819121,,4.87
75242,150.154255,2.2056957,,4.87
79848,150.1059624,2.2174245,,4.87
86275,150.1458712,2.234382,,4.87
92289,150.1839804,2.2491744,,4.87
92316,150.1843008,2.2492351,,4.87
92493,150.1630021,2.2496497,,4.87
108344,150.1793614,2.2847242,,4.87
115000,150.16876,2.2989608,,4.87
110959,150.0604174,2.2903559,,4.87
111999,150.0787165,2.2927375,,4.87
114820,150.0842652,2.2986073,,4.87
36382,150.1472821,2.2883809,,4.87
127817,150.1603297,2.326454,,4.87
18442,150.1059293,2.3777498,,4.87
148158,150.1041704,2.3674407,,4.87
19279,150.1564005,2.3735014,,4.87
27009,150.1734787,2.3352764,,4.87
133472,150.1733755,2.3383223,,4.87
167645,150.1549532,2.4662605,,4.87
173969,150.1778054,2.4448806,,4.87
150350,150.1075833,2.371634,,4.93
81347,150.144999,2.2214186,,4.84
42933,150.1827775,2.2542379,,4.84
100828,150.142775,2.2685263,,4.84
37357,150.062064,2.2836749,,4.84
32438,150.1197051,2.3080267,,4.84
35351,150.1766084,2.2939326,,4.84
112736,150.1426228,2.2943278,,4.84
14970,150.0790512,2.3967953,,4.84
15971,150.1337731,2.3912407,,4.84
17642,150.1288241,2.3820111,,4.84
151302,150.0917121,2.3735709,,4.84
177457,150.1132132,2.4352275,,4.84
