               sample          id       pointing  MPT_number   z_manual  z_gaussian                                    optext
150   CAPERS_EGS_V0.2  s000005528             P3        5528   4.560000    4.556683  CAPERS_EGS_P3_s000005528_x1d_optext.fits
151   CAPERS_EGS_V0.2  s000005536             P2        5536  -1.000000   -1.000000  CAPERS_EGS_P2_s000005536_x1d_optext.fits
152   CAPERS_EGS_V0.2  s000005717             P3        5717  -1.000000   -1.000000  CAPERS_EGS_P3_s000005717_x1d_optext.fits
153   CAPERS_EGS_V0.2  s000005737             P1        5737   1.530000    1.521076  CAPERS_EGS_P1_s000005737_x1d_optext.fits
154   CAPERS_EGS_V0.2  s000005743             P4        5743  -1.000000   -1.000000  CAPERS_EGS_P4_s000005743_x1d_optext.fits
155   CAPERS_EGS_V0.2  s000005744             P4        5744   3.250000    3.250000  CAPERS_EGS_P4_s000005744_x1d_optext.fits
156   CAPERS_EGS_V0.2  s000005791             P4        5791  -1.000000   -1.000000  CAPERS_EGS_P4_s000005791_x1d_optext.fits
157   CAPERS_EGS_V0.2  s000005818             P4        5818   3.740000    3.746467  CAPERS_EGS_P4_s000005818_x1d_optext.fits
158   CAPERS_EGS_V0.2  s000005823             P2        5823   1.149040   -1.000000  CAPERS_EGS_P2_s000005823_x1d_optext.fits
159   CAPERS_EGS_V0.2  s000005833             P2        5833  -1.000000   -1.000000  CAPERS_EGS_P2_s000005833_x1d_optext.fits
160   CAPERS_EGS_V0.2  s000005834             P2        5834  -1.000000   -1.000000                                       NaN
161   CAPERS_EGS_V0.2  s000005872             P4        5872  -1.000000   -1.000000  CAPERS_EGS_P4_s000005872_x1d_optext.fits
162   CAPERS_EGS_V0.2  s000005927             P1        5927   4.630000    4.630232  CAPERS_EGS_P1_s000005927_x1d_optext.fits
163   CAPERS_EGS_V0.2  s000006009             P1        6009   5.070000    5.074237  CAPERS_EGS_P1_s000006009_x1d_optext.fits
164   CAPERS_EGS_V0.2  s000006056             P2        6056   7.396565    7.406865  CAPERS_EGS_P2_s000006056_x1d_optext.fits
165   CAPERS_EGS_V0.2  s000006073             P3        6073   2.953774    2.940962  CAPERS_EGS_P3_s000006073_x1d_optext.fits
166   CAPERS_EGS_V0.2  s000006079             P3        6079   2.940000    2.947383  CAPERS_EGS_P3_s000006079_x1d_optext.fits
167   CAPERS_EGS_V0.2  s000006080             P3        6080   2.188460    2.196140                                       NaN
168   CAPERS_EGS_V0.2  s000006171             P3        6171   1.180000    1.194062  CAPERS_EGS_P3_s000006171_x1d_optext.fits
169   CAPERS_EGS_V0.2  s000006174             P4        6174   5.120000    5.126333  CAPERS_EGS_P4_s000006174_x1d_optext.fits
170   CAPERS_EGS_V0.2  s000006177             P1        6177   1.242993    1.247061  CAPERS_EGS_P1_s000006177_x1d_optext.fits
171   CAPERS_EGS_V0.2  s000006214             P4        6214  -1.000000   -1.000000  CAPERS_EGS_P4_s000006214_x1d_optext.fits
172   CAPERS_EGS_V0.2  s000006216             P1        6216  -1.000000   -1.000000  CAPERS_EGS_P1_s000006216_x1d_optext.fits
173   CAPERS_EGS_V0.2  s000006234             P3        6234   4.799270    4.805962  CAPERS_EGS_P3_s000006234_x1d_optext.fits
174   CAPERS_EGS_V0.2  s000006290             P4        6290  -1.000000   -1.000000                                       NaN
175   CAPERS_EGS_V0.2  s000006306             P3        6306  -1.000000   -1.000000  CAPERS_EGS_P3_s000006306_x1d_optext.fits
176   CAPERS_EGS_V0.2  s000006458             P2        6458   1.755610   -1.000000  CAPERS_EGS_P2_s000006458_x1d_optext.fits
177   CAPERS_EGS_V0.2  s000006466             P2        6466   3.630000    3.640046  CAPERS_EGS_P2_s000006466_x1d_optext.fits
178   CAPERS_EGS_V0.2  s000006499             P1        6499   2.256251    2.256393  CAPERS_EGS_P1_s000006499_x1d_optext.fits
179   CAPERS_EGS_V0.2  s000006527             P2        6527  -1.000000   -1.000000  CAPERS_EGS_P2_s000006527_x1d_optext.fits
180   CAPERS_EGS_V0.2  s000006580             P2        6580   4.480000    4.484584  CAPERS_EGS_P2_s000006580_x1d_optext.fits
181   CAPERS_EGS_V0.2  s000006665             P3        6665   1.857329   -1.000000  CAPERS_EGS_P3_s000006665_x1d_optext.fits
182   CAPERS_EGS_V0.2  s000006673             P4        6673   5.260000    5.267821  CAPERS_EGS_P4_s000006673_x1d_optext.fits
183   CAPERS_EGS_V0.2  s000006691             P1        6691   8.870997    8.873265  CAPERS_EGS_P1_s000006691_x1d_optext.fits
184   CAPERS_EGS_V0.2  s000006711             P1        6711  -1.000000   -1.000000  CAPERS_EGS_P1_s000006711_x1d_optext.fits
185   CAPERS_EGS_V0.2  s000006717             P3        6717   1.551700   -1.000000  CAPERS_EGS_P3_s000006717_x1d_optext.fits
186   CAPERS_EGS_V0.2  s000006802             P2        6802   2.920000    2.935682  CAPERS_EGS_P2_s000006802_x1d_optext.fits
187   CAPERS_EGS_V0.2  s000006813             P4        6813  -1.000000   -1.000000  CAPERS_EGS_P4_s000006813_x1d_optext.fits
188   CAPERS_EGS_V0.2  s000006838             P2        6838   2.640000    2.643156  CAPERS_EGS_P2_s000006838_x1d_optext.fits
189   CAPERS_EGS_V0.2  s000006988             P2        6988   2.640000    2.702615  CAPERS_EGS_P2_s000006988_x1d_optext.fits
190   CAPERS_EGS_V0.2  s000007007             P2        7007   4.890000    4.892852  CAPERS_EGS_P2_s000007007_x1d_optext.fits
191   CAPERS_EGS_V0.2  s000007011             P1        7011  -1.000000   -1.000000  CAPERS_EGS_P1_s000007011_x1d_optext.fits
192   CAPERS_EGS_V0.2  s000007015             P2        7015   5.280000    5.326241  CAPERS_EGS_P2_s000007015_x1d_optext.fits
193   CAPERS_EGS_V0.2  s000007045             P4        7045   3.430000    3.428120  CAPERS_EGS_P4_s000007045_x1d_optext.fits
194   CAPERS_EGS_V0.2  s000007061             P2        7061   5.290000    5.294999  CAPERS_EGS_P2_s000007061_x1d_optext.fits
195   CAPERS_EGS_V0.2  s000007083             P3        7083   1.201300    1.207832  CAPERS_EGS_P3_s000007083_x1d_optext.fits
196   CAPERS_EGS_V0.2  s000007090             P2        7090  -1.000000   -1.000000                                       NaN
197   CAPERS_EGS_V0.2  s000007124             P4        7124   0.420000   -1.000000  CAPERS_EGS_P4_s000007124_x1d_optext.fits
198   CAPERS_EGS_V0.2  s000007127             P1        7127   1.632475    1.634922  CAPERS_EGS_P1_s000007127_x1d_optext.fits
199   CAPERS_EGS_V0.2  s000007132             P4        7132   1.870000    1.816401  CAPERS_EGS_P4_s000007132_x1d_optext.fits
200   CAPERS_EGS_V0.2  s000007143             P1        7143  -1.000000   -1.000000  CAPERS_EGS_P1_s000007143_x1d_optext.fits
201   CAPERS_EGS_V0.2  s000007184             P1        7184  -1.000000   -1.000000  CAPERS_EGS_P1_s000007184_x1d_optext.fits
