ID,ra,dec,z_med,z_UNICORN,flux_F277W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
80945,214.8230375,52.8531656,,5.92,28.858,111,[4],[6],[0],[0],5689.6671,['Midpoint']
92271,214.910224,52.8855816,,5.71,28.326,110,[3],[4],[0],[0],3793.1114,['Midpoint']
91780,214.9611233,52.9234147,,6.55,28.572,107,[2],[0],[6],[0],5689.6671,['Midpoint']
71407,214.9275405,52.9528911,,4.06,27.881,107,[2],[6],[0],[6],11379.3342,['Midpoint']
52823,214.8526852,52.7910073,,4.06,27.785,107,[5],[0],[4],[0],3793.1114,['Midpoint']
39316,214.9266529,52.8140227,,4.06,27.676,107,[7],[6],[0],[0],5689.6671,['Midpoint']
79483,214.930206,52.9331966,,6.7,28.934,105,[2],[0],[0],[6],5689.6671,['Midpoint']
24654,214.8195896,52.7527133,,4.03,24.869,104,[5],[6],[0],[6],11379.3342,['Midpoint']
40210,214.9745983,52.8499383,,4.84,28.162,103,[6],[6],[0],[0],5689.6671,['Midpoint']
56778,214.831311,52.7844212,,6.04,28.404,102,[5],[0],[0],[6],5689.6671,['EOSA']
42566,214.8274442,52.7505531,,4.87,28.173,101,[5],[6],[0],[6],11379.3342,['Midpoint']
59031,214.8679512,52.8169853,,6.01,29.267,100,[7],[6],[0],[0],5689.6671,['Midpoint']
86018,214.9373669,52.9197556,,4.0,27.854,100,[3],[6],[0],[0],5689.6671,['Midpoint']
74755,214.93988,52.9549336,,4.12,28.026,99,[2],[0],[0],[6],5689.6671,['Midpoint']
237984,215.0461109,52.9925726,,3.99,-1.0,99,[1],[6],[0],[0],5689.6671,['Midpoint']
226186,214.8245935,52.8657618,,3.99,-1.0,99,[4],[6],[0],[0],5689.6671,['Midpoint']
71503,215.0006896,53.00445,,10.78,29.295,98,[1],[0],[6],[0],5689.6671,['Midpoint']
209756,215.0825222,52.9633831,,3.99,-1.0,98,[1],[6],[0],[0],5689.6671,['Midpoint']
52864,214.965494,52.871274,,6.79,28.803,97,[3],[6],[0],[6],11379.3342,['Midpoint']
35345,215.0075436,52.8629289,,4.12,28.03,97,[6],[2],[0],[6],7586.2228,['Midpoint']
63149,214.8252626,52.798181,,3.97,27.691,97,[5],[0],[6],[0],5689.6671,['Midpoint']
22198,214.9950335,52.8884206,,3.97,25.592,97,[6],[6],[0],[0],5689.6671,['Midpoint']
22981,214.9922684,52.8829279,,3.97,26.959,97,[6],[0],[0],[6],5689.6671,['Midpoint']
206031,214.9464385,52.8462627,,3.97,-1.0,97,[7],[6],[0],[0],5689.6671,['Midpoint']
87472,214.9982194,52.9615225,,5.17,29.246,94,[1],[6],[0],[6],11379.3342,['Midpoint']
48663,214.8970922,52.8135626,,4.96,28.204,93,[7],[0],[6],[0],5689.6671,['Midpoint']
84182,214.9375595,52.9254724,,4.93,28.561,93,[2],[6],[0],[0],5689.6671,['Midpoint']
8945,214.9906078,52.9611777,,3.94,27.42,93,[1],[0],[6],[0],5689.6671,['Midpoint']
2555,214.9577585,52.9738521,,3.94,27.489,93,[2],[0],[0],[6],5689.6671,['Midpoint']
7132,214.7948657,52.8315184,,1.93,22.003,92,[4],[6],[6],[6],17069.0013,['Midpoint']
57511,214.8244997,52.7815428,,4.63,28.283,91,[5],[6],[0],[6],11379.3342,['Midpoint']
230774,214.8796999,52.9206934,,3.92,-1.0,91,[3],[0],[6],[6],11379.3342,['EOSA']
83164,214.9312053,52.9242553,,4.42,28.214,90,[3],[0],[0],[6],5689.6671,['Midpoint']
65968,214.9382278,52.8819481,,4.12,28.042,90,[3],[6],[0],[0],5689.6671,['Midpoint']
15850,214.8806096,52.8421077,,3.91,25.175,90,[7],[0],[0],[2],1896.5557,['EOSA']
204917,214.8334085,52.7595764,,3.89,-1.0,89,[5],[6],[0],[6],11379.3342,['Midpoint']
74034,214.7865822,52.845236,,5.89,28.728,88,[4],[6],[6],[6],17069.0013,['Midpoint']
2799,215.0057959,53.0063092,,3.88,25.696,87,[1],[0],[6],[0],5689.6671,['Midpoint']
236141,215.0635841,52.9729159,,3.88,-1.0,87,[1],[6],[0],[0],5689.6671,['EOSA']
238043,215.0737361,53.0130779,,3.88,-1.0,87,[1],[6],[0],[0],5689.6671,['Midpoint']
89696,214.9696693,52.9198794,,3.88,28.01,87,[2],[2],[2],[0],3793.1114,['Midpoint']
213643,214.9451175,52.8867288,,3.88,-1.0,87,[3],[0],[6],[0],5689.6671,['Midpoint']
5818,214.825015,52.8610322,,3.88,26.799,87,[4],[6],[0],[0],5689.6671,['Midpoint']
62619,214.8150884,52.789493,,3.88,28.009,87,[5],[6],[0],[0],5689.6671,['Midpoint']
61968,214.8866774,52.838699,,5.5,28.502,85,[7],[0],[6],[0],5689.6671,['Midpoint']
65591,214.8958179,52.8529941,,4.69,28.494,85,[7],[0],[6],[0],5689.6671,['Midpoint']
225664,214.8892837,52.9090193,,3.85,-1.0,85,[3],[6],[0],[0],5689.6671,['Midpoint']
12346,214.9452588,52.9108411,,3.85,27.451,84,[3],[0],[0],[6],5689.6671,['Midpoint']
87058,214.8001099,52.8214016,,3.85,28.09,84,[4],[0],[6],[0],5689.6671,['Midpoint']
51561,214.8005705,52.7509497,,3.85,28.096,84,[5],[6],[0],[6],11379.3342,['Midpoint']
55469,214.8529913,52.7969419,,3.85,28.066,84,[5],[0],[0],[6],5689.6671,['Midpoint']
57543,214.8698583,52.813963,,3.85,27.886,84,[7],[6],[0],[0],5689.6671,['Midpoint']
95340,214.8103716,52.8044746,,4.84,28.2,83,[5],[6],[0],[0],5689.6671,['Midpoint']
207749,214.8180551,52.7651299,,3.84,-1.0,83,[5],[0],[0],[6],5689.6671,['EOSA']
54597,214.9205114,52.8431294,,8.17,28.978,82,[7],[0],[6],[0],5689.6671,['Midpoint']
7456,215.016956,52.9878054,,3.82,27.051,81,[1],[0],[6],[0],5689.6671,['Midpoint']
13693,214.9696728,52.9196635,,3.82,26.377,81,[2],[6],[4],[0],9482.7785,['Midpoint']
83685,214.9417131,52.930944,,3.82,27.906,81,[2],[6],[0],[0],5689.6671,['Midpoint']
88430,214.8910231,52.8835887,,3.82,28.035,81,[3],[0],[6],[0],5689.6671,['Midpoint']
21559,214.8132881,52.76219,,3.82,24.069,81,[5],[6],[0],[6],11379.3342,['Midpoint']
27636,214.9827763,52.8557409,,3.82,27.725,81,[6],[0],[6],[0],5689.6671,['Midpoint']
100160,214.8711576,52.8060699,,3.82,28.004,81,[7],[6],[0],[0],5689.6671,['Midpoint']
236369,215.0133045,52.9412353,,3.8,-1.0,80,[2],[6],[0],[0],5689.6671,['Midpoint']
94472,214.9517064,52.9074426,,8.05,28.852,79,[3],[0],[6],[0],5689.6671,['Midpoint']
