file,zfit,ID,Field,Pointing
CAPERS-COSMOS_P1_s000078945_x1d.fits,4.95,78945,COSMOS,1
CAPERS-COSMOS_P1_s000079150_x1d.fits,3.45,79150,COSMOS,1
CAPERS-COSMOS_P1_s000079292_x1d.fits,3.35,79292,COSMOS,1
CAPERS-COSMOS_P1_s000079367_x1d.fits,6.8,79367,COSMOS,1
CAPERS-COSMOS_P1_s000079460_x1d.fits,0.52,79460,COSMOS,1
CAPERS-COSMOS_P1_s000079498_x1d.fits,5.26,79498,COSMOS,1
CAPERS-COSMOS_P1_s000079505_x1d.fits,2.45,79505,COSMOS,1
CAPERS-COSMOS_P1_s000079522_x1d.fits,1.15,79522,COSMOS,1
CAPERS-COSMOS_P1_s000079535_x1d.fits,0.27,79535,COSMOS,1
CAPERS-COSMOS_P1_s000079565_x1d.fits,3.16,79565,COSMOS,1
CAPERS-COSMOS_P1_s000079784_x1d.fits,4.48,79784,COSMOS,1
CAPERS-COSMOS_P1_s000079845_x1d.fits,1.08,79845,COSMOS,1
CAPERS-COSMOS_P1_s000079848_x1d.fits,5.13,79848,COSMOS,1
CAPERS-COSMOS_P1_s000079863_x1d.fits,2.58,79863,COSMOS,1
CAPERS-COSMOS_P1_s000079909_x1d.fits,5.99,79909,COSMOS,1
CAPERS-COSMOS_P1_s000080318_x1d.fits,5.24,80318,COSMOS,1
CAPERS-COSMOS_P1_s000080348_x1d.fits,3.07,80348,COSMOS,1
CAPERS-COSMOS_P1_s000080402_x1d.fits,2.16,80402,COSMOS,1
CAPERS-COSMOS_P1_s000080449_x1d.fits,6.83,80449,COSMOS,1
CAPERS-COSMOS_P1_s000080759_x1d.fits,2.15,80759,COSMOS,1
CAPERS-COSMOS_P1_s000080840_x1d.fits,4.65,80840,COSMOS,1
CAPERS-COSMOS_P1_s000080866_x1d.fits,3.09,80866,COSMOS,1
CAPERS-COSMOS_P1_s000080881_x1d.fits,7.14,80881,COSMOS,1
CAPERS-COSMOS_P1_s000080917_x1d.fits,3.84,80917,COSMOS,1
CAPERS-COSMOS_P1_s000080959_x1d.fits,6.8,80959,COSMOS,1
CAPERS-COSMOS_P1_s000080999_x1d.fits,2.75,80999,COSMOS,1
CAPERS-COSMOS_P1_s000081141_x1d.fits,5.92,81141,COSMOS,1
CAPERS-COSMOS_P1_s000081347_x1d.fits,9.45,81347,COSMOS,1
CAPERS-COSMOS_P1_s000081459_x1d.fits,0.01,81459,COSMOS,1
CAPERS-COSMOS_P1_s000081787_x1d.fits,1.33,81787,COSMOS,1
CAPERS-COSMOS_P1_s000081936_x1d.fits,4.27,81936,COSMOS,1
CAPERS-COSMOS_P1_s000082130_x1d.fits,2.21,82130,COSMOS,1
CAPERS-COSMOS_P1_s000082667_x1d.fits,0.41,82667,COSMOS,1
CAPERS-COSMOS_P1_s000082692_x1d.fits,5.83,82692,COSMOS,1
CAPERS-COSMOS_P1_s000083161_x1d.fits,3.66,83161,COSMOS,1
CAPERS-COSMOS_P1_s000083567_x1d.fits,2.17,83567,COSMOS,1
CAPERS-COSMOS_P1_s000083678_x1d.fits,6.81,83678,COSMOS,1
CAPERS-COSMOS_P1_s000083810_x1d.fits,4.02,83810,COSMOS,1
