ID,ra,dec,z_med,z_UNICORN,flux_F277W,flux_F356W,flux_F444W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
100039,34.430572915487,-5.2024959769996535,,1.6600000000000013,26.282927249480736,26.50604326260214,26.329436017659425,6,5,6,0,0,5689.6671,Midpoint
114336,34.503418215290466,-5.1686993311362,,1.6600000000000013,26.83310677364011,26.859889674316165,26.79050424313081,6,1,0,6,0,5689.6671,Midpoint
11443,34.229526987473186,-5.138522784894427,,1.6600000000000013,26.353992684448222,26.367090868946605,26.39737380028778,6,3,0,4,0,3793.1114,Midpoint
4337,34.43184891321368,-5.10650738758161,,1.6600000000000013,26.679093704011983,26.59315363040883,26.701336022987057,6,2,0,0,6,5689.6671,Midpoint
6543,34.46956865594421,-5.116538137283912,,1.6600000000000013,24.360303425628324,24.338313920113805,24.26135393021328,6,2,0,0,6,5689.6671,Midpoint
6802,34.435720158617784,-5.117969349734231,,1.6600000000000013,26.07747175685124,26.163430765455,26.105667697824856,6,2,0,0,6,5689.6671,Midpoint
150335,34.4229488288541,-5.149047881175092,,1.6600000000000013,28.02345301451845,27.933602972654,27.978533567447485,6,2,0,0,6,5689.6671,Midpoint
3727,34.262485040203615,-5.10362410967821,,1.6600000000000013,26.332504289840493,26.427020480157587,26.412272686692013,6,3,0,0,6,5689.6671,Midpoint
5105,34.26438233074952,-5.1099307718269165,,1.6600000000000013,25.10296828454657,25.104049008619025,25.04271058612366,6,3,0,0,6,5689.6671,Midpoint
10385,34.25481330095771,-5.134035943791327,,1.6600000000000013,24.432883171097625,24.464939794077218,24.388436124992843,6,3,0,0,6,5689.6671,Midpoint
127666,34.2215686853144,-5.101823041166644,,1.6600000000000013,26.3740955871666,26.46577375248875,26.39665831246469,6,3,0,0,6,5689.6671,Midpoint
142369,34.23003188929909,-5.133285562838717,,1.6600000000000013,27.75232396619927,27.821079552913623,27.58847359124848,6,3,0,0,6,5689.6671,Midpoint
13709,34.250128023035046,-5.148063304952655,,1.6300000000000012,26.4924024468114,26.58635474867181,26.456633021806965,6,3,0,0,6,5689.6671,Midpoint
128684,34.23759375051061,-5.10412934470536,,1.6300000000000012,27.552108330133542,27.71685443005465,27.683767688706496,6,3,0,0,4,3793.1114,Midpoint
22235,34.49667566965414,-5.184146052370218,,1.6000000000000012,24.894261865309485,24.91346830720156,24.915354408308986,6,1,6,0,0,5689.6671,Midpoint
12969,34.454918945722135,-5.145187203103567,,1.6000000000000012,25.01531979973308,25.023645881374755,24.987684423923533,6,2,0,0,6,5689.6671,Midpoint
17905,34.48546037219636,-5.165399856877051,,1.5700000000000012,26.16694939894262,26.15713594290353,26.252071820527583,6,1,4,0,4,7586.2228,EOSA
152715,34.47915258672136,-5.153799001629218,,1.5700000000000012,27.313480941805253,27.343768486394204,27.217672850748823,6,1,6,0,0,5689.6671,Midpoint
3540,34.43688566280181,-5.102571588120077,,1.5700000000000012,26.218224754393248,26.271353232503493,26.32675768429657,6,2,6,0,0,5689.6671,Midpoint
9277,34.46384245084796,-5.129484520476358,,1.5700000000000012,24.650904919476847,24.65492027950563,24.595157312719728,6,2,6,0,0,5689.6671,Midpoint
16427,34.46036013619241,-5.158815166869088,,1.5700000000000012,24.313385914071176,24.31326430419851,24.308125702191,6,2,2,0,0,1896.5557,Midpoint
32249,34.41086799803785,-5.234825754709633,,1.5700000000000012,23.349251511441203,23.296814270170543,23.204402104480813,6,5,6,0,0,5689.6671,Midpoint
33221,34.4155438617722,-5.239467699695507,,1.5700000000000012,26.82167097332104,26.93690559292876,26.96283784862977,6,5,6,0,0,5689.6671,EOSA
11027,34.229419533346814,-5.12491797117217,,1.5700000000000012,26.360894957098573,26.282567644311182,26.31567221385216,6,3,0,6,0,5689.6671,Midpoint
11300,34.249089172371086,-5.1377431736102,,1.5700000000000012,26.78430518382268,26.8260063255944,26.85237026316329,6,3,0,6,0,5689.6671,Midpoint
141953,34.2331047627509,-5.132427987078417,,1.5700000000000012,28.12532480475258,28.01159742157462,27.83491469404652,6,3,0,6,0,5689.6671,Midpoint
24742,34.50220822416681,-5.1974169358246645,,1.5700000000000012,25.755972045366413,25.800842893736693,25.78862253419557,6,1,0,0,2,1896.5557,Midpoint
154150,34.51628112707018,-5.156592939918523,,1.5700000000000012,28.204092262885595,28.160876076808712,27.953127385028147,6,1,0,0,6,5689.6671,Midpoint
157001,34.488406305431106,-5.180802971159491,,1.5700000000000012,27.21723248106376,27.41695961888434,27.11548123653532,6,1,0,0,6,5689.6671,Midpoint
13850,34.458972551540086,-5.148582733915472,,1.5700000000000012,27.04201504637566,26.7880089644288,26.90568551669841,6,2,0,0,6,5689.6671,Midpoint
16900,34.43444681482737,-5.161065494386968,,1.5700000000000012,23.82353744539772,23.76621784409737,23.70190039136932,6,2,0,0,6,5689.6671,Midpoint
8037,34.2272210620308,-5.124408606093957,,1.5700000000000012,25.800553123268585,25.760022898731947,25.703519711264413,6,3,0,0,6,5689.6671,Midpoint
9825,34.223946680131235,-5.131744105672671,,1.5700000000000012,26.12291543306309,26.08224851734738,26.144284521839467,6,3,0,0,6,5689.6671,Midpoint
2064,34.22146024372438,-5.094309588515303,,0.6700000000000004,24.328620588885656,24.30174520568292,24.40538398165632,6,3,0,6,0,5689.6671,EOSA
5510,34.43569120274996,-5.111811069916058,,0.6700000000000004,23.51921261070347,23.60347128232376,23.90799915062169,6,2,0,0,6,5689.6671,Midpoint
