              sample          id                                      file   z_manual                                                           Notes
183  CAPERS_UDS_V0.1  s000136645  CAPERS_UDS_P2_s000136645_x1d_optext.fits  10.560408                                                                
184  CAPERS_UDS_V0.1  s000137026  CAPERS_UDS_P3_s000137026_x1d_optext.fits   4.710000                                                                
185  CAPERS_UDS_V0.1  s000137042  CAPERS_UDS_P2_s000137042_x1d_optext.fits   3.368833                                                                
186  CAPERS_UDS_V0.1  s000137678  CAPERS_UDS_P2_s000137678_x1d_optext.fits   2.613676                                   Higher_redshift_than_expected
187  CAPERS_UDS_V0.1  s000137847  CAPERS_UDS_P2_s000137847_x1d_optext.fits   7.180000                                                                
188  CAPERS_UDS_V0.1  s000138014  CAPERS_UDS_P2_s000138014_x1d_optext.fits   2.090000                                                                
189  CAPERS_UDS_V0.1  s000138371  CAPERS_UDS_P3_s000138371_x1d_optext.fits   1.281705                                                                
190  CAPERS_UDS_V0.1  s000135897  CAPERS_UDS_P2_s000135897_x1d_optext.fits   2.090000                                                                
191  CAPERS_UDS_V0.1  s000138374  CAPERS_UDS_P3_s000138374_x1d_optext.fits   2.480000                                                                
192  CAPERS_UDS_V0.1  s000139408  CAPERS_UDS_P2_s000139408_x1d_optext.fits   4.920000                                                                
193  CAPERS_UDS_V0.1  s000140035  CAPERS_UDS_P2_s000140035_x1d_optext.fits   3.130000                                                                
194  CAPERS_UDS_V0.1  s000140115  CAPERS_UDS_P3_s000140115_x1d_optext.fits   1.261441                                                                
195  CAPERS_UDS_V0.1  s000140510  CAPERS_UDS_P2_s000140510_x1d_optext.fits   2.620000                                                                
196  CAPERS_UDS_V0.1  s000140919  CAPERS_UDS_P3_s000140919_x1d_optext.fits   1.530000                                                                
197  CAPERS_UDS_V0.1  s000141506  CAPERS_UDS_P3_s000141506_x1d_optext.fits   5.903451                                                                
198  CAPERS_UDS_V0.1  s000142042  CAPERS_UDS_P3_s000142042_x1d_optext.fits   9.255912                                                                
199  CAPERS_UDS_V0.1  s000142605  CAPERS_UDS_P2_s000142605_x1d_optext.fits   5.353019                                                                
200  CAPERS_UDS_V0.1  s000139220  CAPERS_UDS_P3_s000139220_x1d_optext.fits   1.099690                                                                
201  CAPERS_UDS_V0.1  s000135482  CAPERS_UDS_P2_s000135482_x1d_optext.fits   2.640000                                                                
202  CAPERS_UDS_V0.1  s000135443  CAPERS_UDS_P3_s000135443_x1d_optext.fits   4.840000                                                                
203  CAPERS_UDS_V0.1  s000134758  CAPERS_UDS_P2_s000134758_x1d_optext.fits   2.869676                                                                
204  CAPERS_UDS_V0.1  s000131817  CAPERS_UDS_P3_s000131817_x1d_optext.fits   0.584876                                                                
205  CAPERS_UDS_V0.1  s000132000  CAPERS_UDS_P3_s000132000_x1d_optext.fits   4.328899                                                                
206  CAPERS_UDS_V0.1  s000132241  CAPERS_UDS_P2_s000132241_x1d_optext.fits   2.097377                                                                
207  CAPERS_UDS_V0.1  s000132283  CAPERS_UDS_P2_s000132283_x1d_optext.fits   6.600000                                                                
208  CAPERS_UDS_V0.1  s000132353  CAPERS_UDS_P3_s000132353_x1d_optext.fits   8.593957                                                                
209  CAPERS_UDS_V0.1  s000132430  CAPERS_UDS_P3_s000132430_x1d_optext.fits   5.270000                                                                
210  CAPERS_UDS_V0.1  s000132638  CAPERS_UDS_P2_s000132638_x1d_optext.fits   4.578354                                   Higher_redshift_than_expected
211  CAPERS_UDS_V0.1  s000133007  CAPERS_UDS_P2_s000133007_x1d_optext.fits   6.992520                                                                
212  CAPERS_UDS_V0.1  s000133089  CAPERS_UDS_P2_s000133089_x1d_optext.fits   7.780000                                                                
213  CAPERS_UDS_V0.1  s000133935  CAPERS_UDS_P2_s000133935_x1d_optext.fits   2.410000                                                                
214  CAPERS_UDS_V0.1  s000133993  CAPERS_UDS_P2_s000133993_x1d_optext.fits   2.170000                                                  Unmasked_spike
215  CAPERS_UDS_V0.1  s000134084  CAPERS_UDS_P2_s000134084_x1d_optext.fits   7.180000                                                                
216  CAPERS_UDS_V0.1  s000134119  CAPERS_UDS_P2_s000134119_x1d_optext.fits   7.339954                                                                
217  CAPERS_UDS_V0.1  s000134188  CAPERS_UDS_P2_s000134188_x1d_optext.fits   3.040345                                                                
218  CAPERS_UDS_V0.1  s000134200  CAPERS_UDS_P3_s000134200_x1d_optext.fits   6.146047                                                                
219  CAPERS_UDS_V0.1  s000134281  CAPERS_UDS_P2_s000134281_x1d_optext.fits   2.188192                                                                
220  CAPERS_UDS_V0.1  s000134451  CAPERS_UDS_P3_s000134451_x1d_optext.fits   3.460000                                                                
221  CAPERS_UDS_V0.1  s000134487  CAPERS_UDS_P2_s000134487_x1d_optext.fits   1.931418                                                                
222  CAPERS_UDS_V0.1  s000134610  CAPERS_UDS_P2_s000134610_x1d_optext.fits   3.680000                                                                
223  CAPERS_UDS_V0.1  s000142615  CAPERS_UDS_P2_s000142615_x1d_optext.fits   7.767324                                                                
224  CAPERS_UDS_V0.1  s000131738  CAPERS_UDS_P3_s000131738_x1d_optext.fits   2.510000                                                                
225  CAPERS_UDS_V0.1  s000142775  CAPERS_UDS_P3_s000142775_x1d_optext.fits   6.640000                                                                
226  CAPERS_UDS_V0.1  s000143568  CAPERS_UDS_P2_s000143568_x1d_optext.fits   5.150000                                                                
227  CAPERS_UDS_V0.1  s000150146  CAPERS_UDS_P2_s000150146_x1d_optext.fits   7.716988                                                                
228  CAPERS_UDS_V0.1  s000150311  CAPERS_UDS_P2_s000150311_x1d_optext.fits   4.630000                                   Higher_redshift_than_expected
229  CAPERS_UDS_V0.1  s000150553  CAPERS_UDS_P1_s000150553_x1d_optext.fits   4.132964                                                                
230  CAPERS_UDS_V0.1  s000150619  CAPERS_UDS_P2_s000150619_x1d_optext.fits   1.610365                                                                
231  CAPERS_UDS_V0.1  s000151195  CAPERS_UDS_P1_s000151195_x1d_optext.fits   3.910014                                                                
