id,bayes.universe.redshift,bayes.universe.redshift_err,best.universe.redshift
96830,5.150000143479491,3.791816683869196e-05,5.15
96986,5.120000000069683,8.347722635838359e-07,5.12
96994,1.531306803482403,0.05582869306899661,1.52
97098,2.6076422095335605,0.01231979162381643,2.61
97121,6.770000000004378,2.0926157655539446e-07,6.7700000000000005
97130,2.473247582041591,0.01126613259607108,2.48
97250,5.142861836010079,0.14069903042509108,5.15
97333,1.2699999999999998,9.504094553350788e-15,1.27
97359,5.230000197676643,4.4460402066170984e-05,5.23
97398,1.749332351316803,0.5888523151063764,1.69
97425,8.02002283438348,0.0004802509646303139,8.02
97566,2.3384835418828276,0.10363718245278966,2.32
97698,1.4242332977629404,0.11253223790430746,1.48
97767,2.5824329576750196,1.399585409354745,2.37
97848,3.9900011958420043,0.00010934803682566724,3.99
97894,3.1403204207378583,0.0017612494121746606,3.14
97995,5.11035304599609,0.001845590574599448,5.11
98040,1.768937296866236,0.09228559166050537,1.78
98048,1.085306100553847,0.02564949880306069,1.1
98069,0.4304092803519733,0.03665818789486271,0.43
98071,3.1637890267292117,0.13898892669351284,3.18
98316,5.319998557286804,0.00012010433185770875,5.32
98342,2.239691285281472,0.4477636150983245,2.0100000000000002
98360,2.058467833015086,0.10797345313541773,2.13
98509,2.290813776677627,0.005995028489053709,2.29
98541,3.120000130205784,3.608380359473702e-05,3.12
98556,1.1169627000188347,0.06422438818457304,1.1300000000000001
98574,3.2291560705329343,2.328861243833491,7.36
98579,2.29,3.1646257813796477e-10,2.29
98823,2.3619647843472955,0.9265681169805793,1.78
98844,2.3058263093209037,0.015447795118395865,2.3000000000000003
98865,6.469996896164103,0.00017615525392404045,6.47
98919,0.0008233503920877354,0.0037789614133688604,0.0
98970,7.7902611279368275,1.718052379129316,8.27
99009,1.8592186699239748,0.006147108333231597,1.86
99049,1.9790374872966323,0.0037230347338586714,1.98
99070,4.084094979607287,0.19188239148116676,4.1
99168,5.559999977353256,1.5052502709512556e-05,5.5600000000000005
99192,1.7009965273604657,0.8284868554151674,0.68
99256,2.9278486759382085,1.4069829127806737,3.77
99273,5.409999999999999,1.4850812575649524e-09,5.41
99277,5.149999992342246,8.898672932269709e-06,5.15
99343,2.169475870952684,0.0022427274881911758,2.17
99357,4.719999998419172,1.5630651158501232e-05,4.72
99404,2.5699608330777983,0.0016180722183289328,2.57
99449,4.159999909965299,3.5012119597250475e-05,4.16
99485,5.650000000000004,6.844362390485038e-09,5.65
99564,2.167584612550683,0.8679506489102135,3.7800000000000002
99626,1.8500640053263189,0.0009651187821897824,1.85
99658,1.8498904985666171,0.08534059919582312,1.86
99670,2.62106894864054,0.0031931046471809785,2.62
99791,1.020955621118124,0.05505918820224631,1.01
99800,3.30792825843027,0.007029106903561092,3.31
100012,2.3800017951459065,0.00018443692218669423,2.38
100039,1.6199999999999999,3.053872287357244e-11,1.62
100049,5.229924133070263,0.02958602863906476,5.23
100097,3.320000018810096,1.3723953101939267e-05,3.3200000000000003
100215,6.617618507113485,0.004259699949586464,6.62
100361,5.3655646527448635,2.9575466722872585,4.49
100661,1.3703830456748103,0.002061471741905946,1.37
100728,4.359989630598501,0.00032235376980740765,4.36
100762,1.0074912953005035,0.050658248097204414,1.02
100800,1.7312524702149714,0.004134089609940312,1.73
100809,5.750000000000087,2.990548256633747e-08,5.75
100825,2.7899999552292423,2.130336152187765e-05,2.79
100938,5.230000054596412,2.3365811789886866e-05,5.23
101007,2.939805476696897,0.0013810865470582636,2.94
101102,0.7094971293972305,0.007239392337814642,0.71
101220,5.230437530166819,0.0020454508112751433,5.23
101395,2.2404982350232894,0.3800913351505453,2.54
101428,2.6700000000000212,1.4752323603106099e-08,2.67
101651,3.0767683096962717,0.42652344425239125,3.19
101656,1.5326615072168932,0.054066387812085934,1.57
101720,2.5100000000000002,2.195961265286726e-12,2.5100000000000002
101733,0.5674287084832765,0.03802328594365144,0.56
101777,5.110000000000002,1.9611248625946303e-09,5.11
101795,6.0399996634181194,5.801470078306844e-05,6.04
101814,3.0492136407783645,0.002842980735890746,3.0500000000000003
101857,5.159999649523151,5.920004779161282e-05,5.16
101985,4.600000120264411,3.472708146915488e-05,4.6000000000000005
102083,2.3378433525376883,0.005379342121522582,2.34
102124,2.2699999517753495,5.86415851960297e-05,2.27
