#file	Best_z	Cand_z_2	Cand_z_3	Cand_z_4
CAPERS_UDS_P1_s000024550_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000104709_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000026351_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000106108_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023758_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023835_x1d.fits	2.2137	0.8547	1.1909	nan
CAPERS_UDS_P1_s000018271_x1d.fits	3.8944	5.5798	nan	nan
CAPERS_UDS_P1_s000015280_x1d.fits	5.2197	7.3565	nan	nan
CAPERS_UDS_P1_s000152742_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000112916_x1d.fits	5.2245	7.3661	nan	nan
CAPERS_UDS_P1_s000023576_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000151986_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000012615_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000015746_x1d.fits	1.479	2.3481	nan	nan
CAPERS_UDS_P1_s000018490_x1d.fits	2.2041	3.3229	nan	nan
CAPERS_UDS_P1_s000101720_x1d.fits	2.5162	3.7263	nan	nan
CAPERS_UDS_P1_s000014673_x1d.fits	2.3001	nan	nan	nan
CAPERS_UDS_P1_s000013530_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000014861_x1d.fits	2.9964	4.3938	1.0468	nan
CAPERS_UDS_P1_s000118488_x1d.fits	6.9964	nan	nan	nan
CAPERS_UDS_P1_s000109375_x1d.fits	4.8739	6.8908	nan	nan
CAPERS_UDS_P1_s000104790_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000014745_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000103576_x1d.fits	0.6242	nan	nan	nan
CAPERS_UDS_P1_s000111677_x1d.fits	2.9292	4.2929	nan	nan
CAPERS_UDS_P1_s000024911_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000153526_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022712_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000103783_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000025947_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000104546_x1d.fits	4.898	6.9244	nan	nan
CAPERS_UDS_P1_s000022417_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000100825_x1d.fits	2.7755	4.072	nan	nan
CAPERS_UDS_P1_s000098574_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022143_x1d.fits	nan	nan	nan	nan
